prompt,price,firstl,midl,lastl
" This House has an area of 4320 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like hot water heating,  along with 2 parking slots. What is the price of this house?",8750000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13085938  0.03466797  0.05957031 ...  0.10742188 -0.07128906
  -0.02978516]]","[[ 4.15625    -0.40039062  2.484375   ...  1.7109375   0.41015625
   0.12402344]]"
" This House has an area of 7155 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8680000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.140625    0.06347656  0.03417969 ...  0.08105469 -0.06787109
  -0.00646973]]","[[ 4.34375    -0.45507812  2.390625   ...  1.734375    0.31054688
   0.2890625 ]]"
" This House has an area of 8050 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",8645000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14746094  0.05761719  0.04882812 ...  0.08740234 -0.07519531
  -0.00720215]]","[[ 4.40625    -0.44335938  2.53125    ...  1.6953125   0.39257812
   0.32421875]]"
" This House has an area of 4560 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",8645000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.15234375  0.06445312  0.04541016 ...  0.08886719 -0.06347656
  -0.01147461]]","[[ 4.375      -0.08691406  2.40625    ...  1.9453125   0.47070312
   0.33984375]]"
" This House has an area of 8800 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8575000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13867188  0.04150391  0.0456543  ...  0.12792969 -0.05273438
  -0.01403809]]",[[4.5        0.51953125 2.359375   ... 1.9140625  0.5390625  0.20800781]]
" This House has an area of 6540 sqft. It has 4 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",8540000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14941406  0.04467773  0.0703125  ...  0.09277344 -0.08496094
  -0.02770996]]","[[ 3.984375   -0.9609375   2.265625   ...  2.328125    0.4609375
   0.02429199]]"
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",8463000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14257812  0.05395508  0.07421875 ...  0.11425781 -0.06982422
  -0.02880859]]","[[ 4.0625     -0.90234375  2.015625   ...  2.8125      0.80078125
  -0.12158203]]"
" This House has an area of 8875 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",8400000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12451172  0.0559082   0.06005859 ...  0.11474609 -0.06787109
  -0.02026367]]","[[ 4.09375    -0.6640625   2.0625     ...  2.296875    0.99609375
   0.        ]]"
" This House has an area of 7950 sqft. It has 5 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like hot water heating,  along with 2 parking slots. What is the price of this house?",8400000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.11914062  0.02319336  0.04003906 ...  0.12255859 -0.08789062
  -0.02929688]]","[[ 3.96875    -0.25585938  2.65625    ...  1.4296875   0.17480469
   0.36914062]]"
" This House has an area of 5500 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",8400000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12890625  0.02294922  0.08886719 ...  0.12988281 -0.08300781
  -0.02722168]]","[[ 3.546875   -1.1796875   1.8515625  ...  2.640625    0.9375
  -0.11914062]]"
" This House has an area of 7475 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8400000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12451172  0.07226562  0.02392578 ...  0.11279297 -0.05981445
  -0.00939941]]",[[4.53125    0.23046875 2.265625   ... 2.0625     0.5625     0.27929688]]
" This House has an area of 7000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8400000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.06347656  0.04589844 ...  0.12792969 -0.05517578
  -0.00799561]]",[[4.53125    0.2734375  2.484375   ... 2.375      0.65234375 0.01879883]]
" This House has an area of 4880 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",8295000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.140625    0.03466797  0.06640625 ...  0.10546875 -0.08496094
  -0.02612305]]","[[ 3.75       -0.859375    2.046875   ...  2.203125    0.69140625
   0.12597656]]"
" This House has an area of 5960 sqft. It has 3 bedrooms and 3 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",8190000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.05737305  0.04443359 ...  0.10546875 -0.07714844
  -0.02539062]]","[[ 4.21875    -0.43359375  2.140625   ...  2.09375     0.640625
   0.33203125]]"
" This House has an area of 6840 sqft. It has 5 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",8120000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14746094  0.0559082   0.04931641 ...  0.08886719 -0.07226562
  -0.01501465]]","[[ 4.40625    -0.390625    2.40625    ...  2.03125     0.37695312
   0.23925781]]"
" This House has an area of 7000 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8080940,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.15429688  0.03833008  0.046875   ...  0.13769531 -0.0534668
  -0.01940918]]","[[ 4.59375     0.71875     2.328125   ...  2.265625    0.43359375
  -0.00634766]]"
" This House has an area of 7482 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like hot water heating,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",8043000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14355469  0.03735352  0.04882812 ...  0.10058594 -0.08398438
  -0.02441406]]","[[ 3.75       -0.47851562  2.359375   ...  1.625       0.37890625
   0.13574219]]"
" This House has an area of 9000 sqft. It has 4 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",7980000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14746094  0.03857422  0.04760742 ...  0.13867188 -0.04711914
  -0.02331543]]","[[ 4.59375     0.66796875  2.28125    ...  2.203125    0.52734375
  -0.01269531]]"
" This House has an area of 6000 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",7962500,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14257812  0.06542969  0.02441406 ...  0.13769531 -0.05297852
  -0.01293945]]",[[4.71875    0.60546875 2.609375   ... 2.34375    0.52734375 0.22558594]]
" This House has an area of 6000 sqft. It has 4 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7910000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13671875  0.06835938  0.05175781 ...  0.12792969 -0.05126953
  -0.00689697]]",[[4.40625    0.27148438 2.421875   ... 2.46875    0.84375    0.17480469]]
" This House has an area of 6550 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",7875000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13867188  0.02636719  0.07714844 ...  0.11425781 -0.08642578
  -0.03417969]]","[[ 3.5625     -1.453125    1.8515625  ...  2.5625      0.8125
  -0.04174805]]"
" This House has an area of 6360 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",7840000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14550781  0.05004883  0.06152344 ...  0.10595703 -0.07617188
  -0.03088379]]","[[ 4.         -0.97265625  2.         ...  2.4375      0.80078125
  -0.03613281]]"
" This House has an area of 6480 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",7700000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12988281  0.06933594  0.02832031 ...  0.10400391 -0.06494141
  -0.01037598]]",[[4.53125    0.2890625  2.515625   ... 1.9453125  0.4765625  0.21582031]]
" This House has an area of 6000 sqft. It has 4 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. What is the price of this house?",7700000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12695312  0.06152344  0.06298828 ...  0.14257812 -0.05517578
  -0.0291748 ]]",[[4.375      0.34960938 2.21875    ... 2.53125    0.72265625 0.03149414]]
" This House has an area of 6000 sqft. It has 4 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7560000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1484375   0.04150391  0.05297852 ...  0.13964844 -0.05273438
  -0.01904297]]",[[4.53125    0.625      2.296875   ... 2.3125     0.60546875 0.05029297]]
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",7560000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.07714844  0.05859375 ...  0.12597656 -0.04931641
  -0.00189209]]",[[4.25       0.06933594 2.171875   ... 2.546875   1.078125   0.08007812]]
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7525000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1484375   0.04248047  0.0534668  ...  0.13964844 -0.05419922
  -0.01660156]]",[[4.5625     0.6328125  2.40625    ... 2.28125    0.56640625 0.05688477]]
" This House has an area of 6600 sqft. It has 3 bedrooms and 1 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 3 parking slots. It is located in a preferred area. What is the price of this house?",7490000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14746094  0.04101562  0.05712891 ...  0.1015625  -0.08300781
  -0.02172852]]","[[ 4.03125    -0.38476562  2.25       ...  2.078125    0.34375
   0.11621094]]"
" This House has an area of 4300 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",7455000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12597656  0.0300293   0.06494141 ...  0.1328125  -0.0859375
  -0.02612305]]","[[ 3.921875   -0.578125    2.171875   ...  2.109375    0.5625
   0.33203125]]"
" This House has an area of 7440 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",7420000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14257812  0.04443359  0.07617188 ...  0.10742188 -0.07421875
  -0.03442383]]","[[ 3.78125    -1.578125    1.8359375  ...  2.984375    1.0859375
  -0.26953125]]"
" This House has an area of 7440 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like ,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",7420000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.04589844  0.05517578 ...  0.1171875  -0.08984375
  -0.04052734]]","[[ 3.859375   -0.91796875  1.9375     ...  2.34375     0.8515625
   0.03027344]]"
" This House has an area of 6325 sqft. It has 3 bedrooms and 1 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7420000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.125       0.05810547  0.04003906 ...  0.11035156 -0.07421875
  -0.01660156]]","[[ 4.40625    -0.26367188  2.25       ...  2.171875    0.73046875
   0.10986328]]"
" This House has an area of 6000 sqft. It has 4 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7350000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.15527344  0.04638672  0.04785156 ...  0.13769531 -0.04614258
  -0.01806641]]",[[4.65625    0.5546875  2.4375     ... 2.28125    0.640625   0.07568359]]
" This House has an area of 5150 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",7350000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13085938  0.06933594  0.04785156 ...  0.10742188 -0.05322266
  -0.01062012]]",[[4.5        0.05883789 2.21875    ... 2.203125   0.7421875  0.0559082 ]]
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7350000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14550781  0.07226562  0.04882812 ...  0.12451172 -0.04736328
  -0.00097656]]",[[4.34375    0.1875     2.390625   ... 2.359375   0.77734375 0.2421875 ]]
" This House has an area of 6000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7350000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.05981445  0.03955078 ...  0.13476562 -0.07421875
  -0.00500488]]",[[4.15625    0.21679688 2.453125   ... 2.296875   0.65234375 0.33398438]]
" This House has an area of 11440 sqft. It has 4 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",7343000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12109375  0.02197266  0.08789062 ...  0.13671875 -0.09814453
  -0.04345703]]","[[ 3.546875   -1.5546875   1.671875   ...  2.9375      1.0859375
  -0.23730469]]"
