prompt,price
" This House has an area of 8880 sqft. It has 2 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7070000
" This House has an area of 6240 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7070000
" This House has an area of 6360 sqft. It has 4 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",7035000
" This House has an area of 11175 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",7000000
" This House has an area of 8880 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",6930000
" This House has an area of 13200 sqft. It has 2 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like hot water heating,  along with 1 parking slots. What is the price of this house?",6930000
" This House has an area of 7700 sqft. It has 3 bedrooms and 2 bathrooms . It is a 1 storey house on the mainroad. The house is unfurnished and comes with facilities like ,  along with 2 parking slots. What is the price of this house?",6895000
" This House has an area of 6000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",6860000
" This House has an area of 12090 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6790000
" This House has an area of 4000 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6790000
" This House has an area of 6000 sqft. It has 4 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",6755000
" This House has an area of 5020 sqft. It has 3 bedrooms and 1 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6720000
" This House has an area of 6600 sqft. It has 2 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6685000
" This House has an area of 4040 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like hot water heating,  along with 1 parking slots. What is the price of this house?",6650000
" This House has an area of 4260 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like hot water heating,  along with 0 parking slots. What is the price of this house?",6650000
" This House has an area of 6420 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6650000
" This House has an area of 6500 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6650000
" This House has an area of 5700 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6650000
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",6650000
" This House has an area of 6000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like hot water heating,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",6629000
" This House has an area of 4000 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",6615000
" This House has an area of 10500 sqft. It has 3 bedrooms and 2 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",6615000
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",6580000
" This House has an area of 3760 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like hot water heating,  along with 2 parking slots. What is the price of this house?",6510000
" This House has an area of 8250 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",6510000
" This House has an area of 6670 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6510000
" This House has an area of 3960 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. What is the price of this house?",6475000
" This House has an area of 7410 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6475000
" This House has an area of 8580 sqft. It has 5 bedrooms and 3 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like ,  along with 2 parking slots. What is the price of this house?",6440000
" This House has an area of 5000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",6440000
" This House has an area of 6750 sqft. It has 2 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6419000
" This House has an area of 4800 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",6405000
" This House has an area of 7200 sqft. It has 3 bedrooms and 2 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 3 parking slots. What is the price of this house?",6300000
" This House has an area of 6000 sqft. It has 4 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",6300000
" This House has an area of 4100 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",6300000
" This House has an area of 9000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",6300000
" This House has an area of 6400 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",6300000
" This House has an area of 6600 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6293000
" This House has an area of 6000 sqft. It has 4 bedrooms and 1 bathrooms along with a guest room. It is a 3 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6265000
" This House has an area of 6600 sqft. It has 3 bedrooms and 2 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6230000
" This House has an area of 5500 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is unfurnished and comes with facilities like ,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",6230000
" This House has an area of 5500 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",6195000
" This House has an area of 6350 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",6195000
" This House has an area of 5500 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6195000
" This House has an area of 4500 sqft. It has 3 bedrooms and 1 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",6160000
" This House has an area of 5450 sqft. It has 4 bedrooms and 2 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6160000
" This House has an area of 6420 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6125000
" This House has an area of 3240 sqft. It has 4 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",6107500
" This House has an area of 6615 sqft. It has 4 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like hot water heating,  along with 1 parking slots. What is the price of this house?",6090000
" This House has an area of 6600 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6090000
" This House has an area of 8372 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",6090000
" This House has an area of 4300 sqft. It has 6 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like ,  along with 0 parking slots. What is the price of this house?",6083000
" This House has an area of 9620 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6083000
" This House has an area of 6800 sqft. It has 2 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 2 parking slots. What is the price of this house?",6020000
" This House has an area of 8000 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6020000
" This House has an area of 6900 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6020000
" This House has an area of 3700 sqft. It has 4 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",5950000
" This House has an area of 6420 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",5950000
" This House has an area of 7020 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",5950000
" This House has an area of 6540 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",5950000
" This House has an area of 7231 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",5950000
" This House has an area of 6254 sqft. It has 4 bedrooms and 2 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",5950000
" This House has an area of 7320 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like ,  along with 0 parking slots. What is the price of this house?",5950000
" This House has an area of 6525 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",5950000
" This House has an area of 15600 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",5943000
" This House has an area of 7160 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",5880000
" This House has an area of 6500 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",5880000
" This House has an area of 5500 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",5873000
" This House has an area of 11460 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",5873000
" This House has an area of 4800 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 0 parking slots. What is the price of this house?",5866000
" This House has an area of 5828 sqft. It has 4 bedrooms and 1 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 0 parking slots. What is the price of this house?",5810000
" This House has an area of 5200 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",5810000
